;Scopy version,f4beeb1
;Exported on,Freitag August 30/08/2024
;Device,M2K
;Nr of samples,1600
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
0,-0.0046,0.518431,0.324829
1,-0.00459,0.518431,0.308125
2,-0.00458,0.518431,0.308125
3,-0.00457,0.501728,0.291421
4,-0.00456,0.501728,0.291421
5,-0.00455,0.501728,0.24131
6,-0.00454,0.501728,0.24131
7,-0.00453,0.501728,0.207903
8,-0.00452,0.501728,0.207903
9,-0.00451,0.501728,0.191199
10,-0.0045,0.485024,0.174495
11,-0.00449,0.485024,0.157791
12,-0.00448,0.485024,0.157791
13,-0.00447,0.485024,0.157791
14,-0.00446,0.485024,0.124384
15,-0.00445,0.485024,0.10768
16,-0.00444,0.485024,0.10768
17,-0.00443,0.46832,0.0909765
18,-0.00442,0.46832,0.0909765
19,-0.00441,0.46832,0.0909765
20,-0.0044,0.46832,0.057569
21,-0.00439,0.451617,0.0408653
22,-0.00438,0.451617,0.0408653
23,-0.00437,0.451617,0.0241616
24,-0.00436,0.434913,0.0241616
25,-0.00435,0.434913,-0.00924586
26,-0.00434,0.434913,-0.00924586
27,-0.00433,0.401505,-0.0259496
28,-0.00432,0.401505,-0.0259496
29,-0.00431,0.384802,-0.0426533
30,-0.0043,0.384802,-0.0426533
31,-0.00429,0.384802,-0.0426533
32,-0.00428,0.351394,-0.059357
33,-0.00427,0.351394,-0.059357
34,-0.00426,0.334691,-0.059357
35,-0.00425,0.317987,-0.059357
36,-0.00424,0.301283,-0.059357
37,-0.00423,0.301283,-0.059357
38,-0.00422,0.284579,-0.059357
39,-0.00421,0.267876,-0.059357
40,-0.0042,0.251172,-0.0760607
41,-0.00419,0.234468,-0.059357
42,-0.00418,0.217764,-0.059357
43,-0.00417,0.201061,-0.0760607
44,-0.00416,0.167653,-0.059357
45,-0.00415,0.167653,-0.059357
46,-0.00414,0.134246,-0.0760607
47,-0.00413,0.117542,-0.0760607
48,-0.00412,0.100838,-0.0760607
49,-0.00411,0.0841347,-0.059357
50,-0.0041,0.0841347,-0.0760607
51,-0.00409,0.067431,-0.0426533
52,-0.00408,0.0340235,-0.0760607
53,-0.00407,0.0340235,-0.0760607
54,-0.00406,0.0173198,-0.059357
55,-0.00405,0.000616087,-0.0760607
56,-0.00404,-0.0494951,-0.0760607
57,-0.00403,-0.0494951,-0.059357
58,-0.00402,-0.0494951,-0.059357
59,-0.00401,-0.0829025,-0.059357
60,-0.004,-0.0996062,-0.0760607
61,-0.00399,-0.11631,-0.0760607
62,-0.00398,-0.133014,-0.0426533
63,-0.00397,-0.149717,-0.059357
64,-0.00396,-0.166421,-0.0760607
65,-0.00395,-0.183125,-0.0760607
66,-0.00394,-0.183125,-0.0760607
67,-0.00393,-0.199829,-0.0760607
68,-0.00392,-0.216532,-0.0760607
69,-0.00391,-0.233236,-0.0760607
70,-0.0039,-0.24994,-0.0760607
71,-0.00389,-0.300051,-0.0760607
72,-0.00388,-0.300051,-0.0760607
73,-0.00387,-0.316755,-0.0760607
74,-0.00386,-0.333458,-0.0760607
75,-0.00385,-0.350162,-0.0760607
76,-0.00384,-0.366866,-0.0760607
77,-0.00383,-0.366866,-0.059357
78,-0.00382,-0.38357,-0.059357
79,-0.00381,-0.400273,-0.059357
80,-0.0038,-0.416977,-0.059357
81,-0.00379,-0.450384,-0.059357
82,-0.00378,-0.450384,-0.059357
83,-0.00377,-0.450384,-0.059357
84,-0.00376,-0.517199,-0.0760607
85,-0.00375,-0.517199,-0.0760607
86,-0.00374,-0.533903,-0.059357
87,-0.00373,-0.550607,-0.059357
88,-0.00372,-0.56731,-0.0760607
89,-0.00371,-0.584014,-0.0760607
90,-0.0037,-0.600718,-0.0760607
91,-0.00369,-0.600718,-0.0760607
92,-0.00368,-0.634125,-0.0760607
93,-0.00367,-0.634125,-0.059357
94,-0.00366,-0.650829,-0.059357
95,-0.00365,-0.684236,-0.0760607
96,-0.00364,-0.684236,-0.0760607
97,-0.00363,-0.70094,-0.0760607
98,-0.00362,-0.734348,-0.0760607
99,-0.00361,-0.734348,-0.0760607
100,-0.0036,-0.751051,-0.059357
101,-0.00359,-0.767755,-0.059357
102,-0.00358,-0.784459,-0.059357
103,-0.00357,-0.801163,-0.0760607
104,-0.00356,-0.817866,-0.0760607
105,-0.00355,-0.83457,-0.0760607
106,-0.00354,-0.867977,-0.0760607
107,-0.00353,-0.867977,-0.059357
108,-0.00352,-0.884681,-0.059357
109,-0.00351,-0.901385,-0.059357
110,-0.0035,-0.918089,-0.0927645
111,-0.00349,-0.918089,-0.059357
112,-0.00348,-0.951496,-0.0760607
113,-0.00347,-0.9682,-0.0760607
114,-0.00346,-0.984903,-0.059357
115,-0.00345,-1.00161,-0.059357
116,-0.00344,-1.01831,-0.059357
117,-0.00343,-1.03501,-0.0760607
118,-0.00342,-1.05172,-0.0760607
119,-0.00341,-1.08513,-0.0760607
120,-0.0034,-1.08513,-0.0760607
121,-0.00339,-1.10183,-0.0760607
122,-0.00338,-1.11853,-0.0760607
123,-0.00337,-1.11853,-0.0760607
124,-0.00336,-1.13524,-0.0760607
125,-0.00335,-1.15194,-0.0760607
126,-0.00334,-1.18535,-0.0760607
127,-0.00333,-1.20205,-0.0760607
128,-0.00332,-1.23546,-0.0760607
129,-0.00331,-1.23546,-0.0760607
130,-0.0033,-1.25216,-0.0760607
131,-0.00329,-1.26887,-0.0760607
132,-0.00328,-1.28557,-0.0760607
133,-0.00327,-1.30227,-0.0760607
134,-0.00326,-1.30227,-0.059357
135,-0.00325,-1.31898,-0.059357
136,-0.00324,-1.33568,-0.059357
137,-0.00323,-1.35239,-0.0760607
138,-0.00322,-1.4025,-0.0760607
139,-0.00321,-1.4025,-0.059357
140,-0.0032,-1.4192,-0.059357
141,-0.00319,-1.4359,-0.0760607
142,-0.00318,-1.45261,-0.0760607
143,-0.00317,-1.46931,-0.0760607
144,-0.00316,-1.48602,-0.0760607
145,-0.00315,-1.50272,-0.059357
146,-0.00314,-1.50272,-0.059357
147,-0.00313,-1.51942,-0.0760607
148,-0.00312,-1.53613,-0.0760607
149,-0.00311,-1.55283,-0.0760607
150,-0.0031,-1.56953,-0.0760607
151,-0.00309,-1.60294,-0.0760607
152,-0.00308,-1.60294,-0.0760607
153,-0.00307,-1.63635,-0.0760607
154,-0.00306,-1.63635,-0.059357
155,-0.00305,-1.66976,-0.059357
156,-0.00304,-1.68646,-0.059357
157,-0.00303,-1.70316,-0.059357
158,-0.00302,-1.70316,-0.059357
159,-0.00301,-1.71987,-0.059357
160,-0.003,-1.73657,-0.059357
161,-0.00299,-1.75327,-0.059357
162,-0.00298,-1.76998,-0.0760607
163,-0.00297,-1.80339,-0.0760607
164,-0.00296,-1.82009,-0.0760607
165,-0.00295,-1.8535,-0.0760607
166,-0.00294,-1.8702,-0.0760607
167,-0.00293,-1.8702,-0.0760607
168,-0.00292,-1.8869,-0.0760607
169,-0.00291,-1.8869,-0.0760607
170,-0.0029,-1.92031,-0.059357
171,-0.00289,-1.92031,-0.059357
172,-0.00288,-1.93702,-0.059357
173,-0.00287,-1.95372,-0.059357
174,-0.00286,-1.95372,-0.059357
175,-0.00285,-1.98713,-0.059357
176,-0.00284,-2.00383,-0.059357
177,-0.00283,-2.00383,-0.059357
178,-0.00282,-2.03724,-0.059357
179,-0.00281,-2.07065,-0.059357
180,-0.0028,-2.08735,-0.0760607
181,-0.00279,-2.10405,-0.0760607
182,-0.00278,-2.12076,-0.0760607
183,-0.00277,-2.13746,-0.059357
184,-0.00276,-2.13746,-0.059357
